id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01J042RE0X72TC809DEQG8S440,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:40:37.104309491Z,0,2024-06-11T16:40:37.104309491Z,,2024-06-11T16:40:38.893015326Z,game ended,2024-06-11T17:12:44.235675123Z,,,,,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:40:34.089353372Z,1,2024-06-11T16:40:35.38291964Z,true,2024-06-11T16:40:36.899544224Z,Minu,2024-06-11T16:40:37.104309491Z,#444EA1,2024-06-11T16:40:37.104309491Z,01J042RDREH01E4A31SF38Y68K,2024-06-11T16:40:34.077050944Z,Abby2,2024-06-11T16:40:34.077050944Z,01J042QKDVTH2GV2PAHW5PC57E,2024-06-11T16:40:37.104309491Z,listener,2024-06-11T17:11:44.116559197Z,0,2024-06-11T16:40:37.104309491Z,/avatars/red.png,2024-06-11T16:40:37.104309491Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:40:34.089353372Z,demo-noncomp,2024-06-11T16:40:34.089353372Z,"{""participantKey"":""1717dfsfd61621dddf""}",2024-06-11T16:40:34.298482804Z
01J03X53N1CJ0HJEV55AMSTRM6,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T15:02:44.950671065Z,0.150000,2024-06-11T15:03:42.166829262Z,,2024-06-11T15:03:42.195133635Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,,,null,2024-06-11T15:23:31.741687141Z,Repi,2024-06-11T15:02:44.950671065Z,#29828D,2024-06-11T15:02:44.950671065Z,01J03X53DKJJZ3TF6MKEVT5A11,2024-06-11T15:02:37.98516044Z,sfdgfsd,2024-06-11T15:02:37.98516044Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:02:44.950671065Z,listener,2024-06-11T15:08:23.571310588Z,0.150000,2024-06-11T15:03:42.166829262Z,/avatars/blue.png,2024-06-11T15:02:44.950671065Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""171761621fdgfddd""}",2024-06-11T15:02:38.122712073Z
01J03Y5QSWEA2P3CRDC8JB77HQ,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T15:20:37.549888154Z,0,2024-06-11T15:20:37.549888154Z,,2024-06-11T15:20:39.352536957Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:20:31.27681579Z,null,2024-06-11T15:23:27.613817349Z,Minu,2024-06-11T15:20:37.549888154Z,#444EA1,2024-06-11T15:20:37.549888154Z,01J03Y5QGR7JNW138T3N5KDSVT,2024-06-11T15:20:27.196434553Z,gfhjfghj,2024-06-11T15:20:27.196434553Z,01J03Y5NR9K8SXVFTKEQKVH1HE,2024-06-11T15:20:37.549888154Z,listener,2024-06-11T15:20:59.43728713Z,0,2024-06-11T15:20:37.549888154Z,/avatars/red.png,2024-06-11T15:20:37.549888154Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""1717dfsfd61621""}",2024-06-11T15:20:27.327685715Z
01J03Y9RDXGFP2DQFTNZXXPNES,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T15:22:48.054837846Z,0.030000,2024-06-11T15:22:56.434788295Z,,2024-06-11T15:23:11.596026032Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:22:42.85845068Z,null,2024-06-11T15:23:46.898126713Z,Repi,2024-06-11T15:22:48.054837846Z,#29828D,2024-06-11T15:22:48.054837846Z,01J03Y9R3PTJ5PDKSCGQM9XWN1,2024-06-11T15:22:38.909903432Z,dfghg,2024-06-11T15:22:38.909903432Z,01J03Y9T5QC8VV5YMRT1E969VR,2024-06-11T15:22:48.054837846Z,listener,2024-06-11T15:23:11.596026032Z,0.030000,2024-06-11T15:22:56.434788295Z,/avatars/blue.png,2024-06-11T15:22:48.054837846Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""1717dfsfd61621ffgdddd""}",2024-06-11T15:22:39.046144067Z
01J04095V3TGFY9WB49TGK3EX0,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T15:57:29.702226798Z,0.060000,2024-06-11T15:59:13.256459997Z,,2024-06-11T15:59:13.285974856Z,no more games,2024-06-11T16:39:19.489871507Z,,,,,null,2024-06-11T16:39:19.489871507Z,1,2024-06-11T15:57:21.275323429Z,null,2024-06-11T16:00:56.157636136Z,Minu,2024-06-11T15:57:29.702226798Z,#444EA1,2024-06-11T15:57:29.702226798Z,01J04095KKWV0APPTRD2Z4SH7V,2024-06-11T15:57:17.027495494Z,dfdsfasdf,2024-06-11T15:57:17.027495494Z,01J04095TJQA1XG3103XPKRAMV,2024-06-11T15:57:29.702226798Z,speaker,2024-06-11T15:59:13.285974856Z,0.060000,2024-06-11T15:59:13.256459997Z,/avatars/red.png,2024-06-11T15:57:29.702226798Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:10.175041364Z,demo-comp-between,2024-06-11T16:37:10.175041364Z,"{""participantKey"":""171761621dffdf""}",2024-06-11T15:57:17.287811721Z
01J042JANA9P3QE1K69TE0ZT0J,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T16:38:31.726487081Z,0.900000,2024-06-11T16:49:27.533091707Z,/tangrams/1_17.png,2024-06-11T16:49:26.453125269Z,game ended,2024-06-11T16:49:27.581520888Z,true,2024-06-11T16:50:11.727015566Z,"{""age"":""100"",""gender"":""???"",""strength"":""strong"",""fair"":""oh yeah"",""feedback"":""rounding"",""education"":""master""}",2024-06-11T16:50:11.720325032Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:37:14.037362186Z,1,2024-06-11T16:37:15.469474047Z,true,2024-06-11T16:37:34.532260346Z,Repi,2024-06-11T16:38:31.726487081Z,#29828D,2024-06-11T16:38:31.726487081Z,01J042JADKFVE08QWSA4J50SWB,2024-06-11T16:37:14.026511382Z,robert,2024-06-11T16:37:14.026511382Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:38:31.726487081Z,speaker,2024-06-11T16:49:16.509889167Z,0.900000,2024-06-11T16:49:27.533091707Z,/avatars/blue.png,2024-06-11T16:38:31.726487081Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:14.037362186Z,demo-comp-within,2024-06-11T16:37:14.037362186Z,{},2024-06-11T16:37:14.189024208Z
01J042JT6WPZS3ZND7A7738ZSY,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:38:55.976195833Z,0.900000,2024-06-11T16:54:03.002298177Z,/tangrams/1_17.png,2024-06-11T16:54:01.929137944Z,game ended,2024-06-11T16:54:03.068642516Z,true,2024-06-11T16:54:55.212656584Z,"{""age"":""21"",""gender"":""m"",""strength"":""describing things"",""fair"":""yes"",""feedback"":"""",""education"":""high-school""}",2024-06-11T16:54:55.205939044Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:37:29.96071758Z,1,2024-06-11T16:37:44.662686264Z,true,2024-06-11T16:38:29.675925396Z,Minu,2024-06-11T16:38:55.976195833Z,#444EA1,2024-06-11T16:38:55.976195833Z,01J042JSWGDX5AKJGK5V3BJ19T,2024-06-11T16:37:29.948817172Z,jesse,2024-06-11T16:37:29.948817172Z,01J042JB8A2DCYDBAZ3HV9S10D,2024-06-11T16:38:55.976195833Z,listener,2024-06-11T16:53:49.260706033Z,0.900000,2024-06-11T16:54:03.002298177Z,/avatars/red.png,2024-06-11T16:38:55.976195833Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:29.96071758Z,demo-comp-between,2024-06-11T16:37:29.96071758Z,{},2024-06-11T16:37:30.141721866Z
01J042MX1G94MV9Y59EECN71PN,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:39:19.577302658Z,0.930000,2024-06-11T16:51:43.905909304Z,/tangrams/3_17.png,2024-06-11T16:51:42.849989293Z,game ended,2024-06-11T16:51:43.959367926Z,true,2024-06-11T16:51:54.282745939Z,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2024-06-11T16:51:54.275674834Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:38:38.392821891Z,1,2024-06-11T16:38:42.762248539Z,true,2024-06-11T16:39:19.484827004Z,Minu,2024-06-11T16:39:19.577302658Z,#444EA1,2024-06-11T16:39:19.577302658Z,01J042MWTGHJ26YTFSF243SXFE,2024-06-11T16:38:38.384104439Z,cccc,2024-06-11T16:38:38.384104439Z,01J042KB07J8YBT7P3Q55XJKA4,2024-06-11T16:39:19.577302658Z,listener,2024-06-11T16:51:26.449482867Z,0.930000,2024-06-11T16:51:43.905909304Z,/avatars/red.png,2024-06-11T16:39:19.577302658Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:38:38.392821891Z,demo-comp-between,2024-06-11T16:38:38.392821891Z,{},2024-06-11T16:38:38.516786553Z
01J03X55JSXT0VAV6HARBGF6MD,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T15:02:44.950671065Z,0.150000,2024-06-11T15:03:42.166829262Z,,2024-06-11T15:03:42.195133635Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,,,null,2024-06-11T15:23:31.217566801Z,Minu,2024-06-11T15:02:44.950671065Z,#444EA1,2024-06-11T15:02:44.950671065Z,01J03X55BBNGM5RER1H3CKGCY6,2024-06-11T15:02:39.961348682Z,dfghfgdh,2024-06-11T15:02:39.961348682Z,01J03X53N1CJ0HJEV55AMSTRM6,2024-06-11T15:02:44.950671065Z,speaker,2024-06-11T15:08:23.571310588Z,0.150000,2024-06-11T15:03:42.166829262Z,/avatars/red.png,2024-06-11T15:02:44.950671065Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""171761621fdgfddd""}",2024-06-11T15:02:40.149212846Z
01J042JEX1D79G227SPAQTF0SW,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:38:31.726487081Z,0.900000,2024-06-11T16:49:27.533091707Z,/tangrams/1_17.png,2024-06-11T16:49:26.449792767Z,game ended,2024-06-11T16:49:27.581520888Z,true,2024-06-11T16:50:37.477945749Z,"{""age"":"""",""gender"":""hedgehod"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""other""}",2024-06-11T16:50:37.472954145Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:37:18.380677575Z,1,2024-06-11T16:37:25.668504863Z,true,2024-06-11T16:38:31.587558981Z,Minu,2024-06-11T16:38:31.726487081Z,#444EA1,2024-06-11T16:38:31.726487081Z,01J042JEN4CWSF9WMKTMAM3W3J,2024-06-11T16:37:18.369237769Z,dcefvrgbhtnyjmukrgrgrg!!!,2024-06-11T16:37:18.369237769Z,01J042JANA9P3QE1K69TE0ZT0J,2024-06-11T16:38:31.726487081Z,listener,2024-06-11T16:49:16.509889167Z,0.900000,2024-06-11T16:49:27.533091707Z,/avatars/red.png,2024-06-11T16:38:31.726487081Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:18.380677575Z,demo-comp-within,2024-06-11T16:37:18.380677575Z,{},2024-06-11T16:37:18.512918376Z
01J04318V1CQ18NDZYS70RXZ42,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T16:45:27.981794462Z,0.900000,2024-06-11T17:01:21.73209833Z,/tangrams/1_17.png,2024-06-11T17:01:20.677544618Z,game ended,2024-06-11T17:01:21.786423681Z,,,,,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:45:23.693660349Z,1,2024-06-11T16:45:24.872662207Z,true,2024-06-11T16:45:26.643763427Z,Repi,2024-06-11T16:45:27.981794462Z,#29828D,2024-06-11T16:45:27.981794462Z,01J04318KH8X4JH368GT26XMAY,2024-06-11T16:45:23.681710468Z,a,2024-06-11T16:45:23.681710468Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:45:27.981794462Z,speaker,2024-06-11T17:00:32.492552324Z,0.900000,2024-06-11T17:01:21.73209833Z,/avatars/blue.png,2024-06-11T16:45:27.981794462Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:45:23.693660349Z,demo-comp-within,2024-06-11T16:45:23.693660349Z,"{""participantKey"":""test2""}",2024-06-11T16:45:23.83854295Z
01J0431AJ55NGAMMR47B8WWHK4,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:45:27.981794462Z,0.900000,2024-06-11T17:01:21.73209833Z,/tangrams/1_17.png,2024-06-11T17:01:20.670964517Z,game ended,2024-06-11T17:01:21.786423681Z,,,,,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:45:25.457985481Z,1,2024-06-11T16:45:26.660763212Z,true,2024-06-11T16:45:27.871470859Z,Minu,2024-06-11T16:45:27.981794462Z,#444EA1,2024-06-11T16:45:27.981794462Z,01J0431AAGB5N2EAEKFQD0856F,2024-06-11T16:45:25.446009603Z,Abby3,2024-06-11T16:45:25.446009603Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:45:27.981794462Z,listener,2024-06-11T17:00:32.492552324Z,0.900000,2024-06-11T17:01:21.73209833Z,/avatars/red.png,2024-06-11T16:45:27.981794462Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:45:25.457985481Z,demo-comp-within,2024-06-11T16:45:25.457985481Z,"{""participantKey"":""1717dfsfd61621dddfhhhh""}",2024-06-11T16:45:25.597255842Z
