id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JFG08DVBJC2Z9ZN00GSKRAHT,,,,,,,game terminated,2024-12-19T11:58:16.325263-06:00,01JFG07Q5R9467M5A2GGPKBXKG,2024-12-19T11:43:13.01445-06:00,2,2024-12-19T11:43:16.654265-06:00,true,2024-12-19T11:43:26.127779-06:00,,,,,,,01JFG08DTVSQHJKZA0RJ9ZAZH5,2024-12-19T11:43:13.003098-06:00,fdg,2024-12-19T11:43:13.003098-06:00,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:43:13.01445-06:00,full-comp-between,2024-12-19T11:43:13.01445-06:00,"{""participantKey"":""1734630178315""}",2024-12-19T11:43:13.020425-06:00
01JFG0H57QG0HGNVSJTWF6F73F,,,,,,,game terminated,2024-12-19T11:58:18.238516-06:00,01JFG0V9REQA34Z030FJPM5NG2,2024-12-19T11:53:32.685304-06:00,2,2024-12-19T11:50:55.107251-06:00,null,2024-12-19T11:53:21.691033-06:00,,,,,,,01JFG0H579H7Q0Y88P8K2CVEN7,2024-12-19T11:47:59.095151-06:00,sgf,2024-12-19T11:47:59.095151-06:00,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:53:32.685304-06:00,full-comp-between,2024-12-19T11:53:32.685304-06:00,"{""participantKey"":""1734630178315fdgfsdssddsfsddfsd""}",2024-12-19T11:47:59.121945-06:00
01JFG0R5N0EJCE8E0QW1TQKRH2,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T11:52:09.772682-06:00,0,2024-12-19T11:52:09.772682-06:00,,2024-12-19T11:52:10.592965-06:00,game ended,2024-12-19T11:56:22.898379-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:51:48.908104-06:00,2,2024-12-19T11:51:51.23856-06:00,true,2024-12-19T11:52:09.689421-06:00,Minu,2024-12-19T11:52:09.772682-06:00,#444EA1,2024-12-19T11:52:09.772682-06:00,4,2024-12-19T11:56:22.891762-06:00,01JFG0R5MEZY5G58YE3R43FFCZ,2024-12-19T11:51:48.896255-06:00,gngf,2024-12-19T11:51:48.896255-06:00,01JFG0FQFEGTCV9C24GCYXQJYK,2024-12-19T11:52:09.772682-06:00,matcher,2024-12-19T11:55:19.838186-06:00,0,2024-12-19T11:52:09.772682-06:00,/avatars/red.png,2024-12-19T11:52:09.772682-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:51:48.908104-06:00,full-comp-between,2024-12-19T11:51:48.908104-06:00,"{""participantKey"":""1734630178315fdgfsdssdg""}",2024-12-19T11:51:48.915576-06:00
01JFG73J7R43Z4XV0457CH3BF0,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T13:43:22.343465-06:00,0,2024-12-19T13:43:22.343465-06:00,,2024-12-19T13:43:22.767831-06:00,game ended,2024-12-19T13:47:35.456629-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:42:53.701912-06:00,2,2024-12-19T13:42:56.605647-06:00,true,2024-12-19T13:43:04.610674-06:00,Repi,2024-12-19T13:43:22.343465-06:00,#29828D,2024-12-19T13:43:22.343465-06:00,4,2024-12-19T13:47:35.445316-06:00,01JFG73J73BKAW7J9BCXWG0T0M,2024-12-19T13:42:53.688636-06:00,fssfdg,2024-12-19T13:42:53.688636-06:00,01JFG743WKH3HTC30MXDFW0WDH,2024-12-19T13:43:22.343465-06:00,director,2024-12-19T13:46:32.359751-06:00,0,2024-12-19T13:43:22.343465-06:00,/avatars/blue.png,2024-12-19T13:43:22.343465-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:42:53.701912-06:00,full-comp-between,2024-12-19T13:42:53.701912-06:00,"{""participantKey"":""1734630178315dsg""}",2024-12-19T13:42:53.710942-06:00
01JFG0DMQ791QR765QJNTD7TEF,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T11:46:14.224702-06:00,0.060000,2024-12-19T11:46:31.205856-06:00,,2024-12-19T11:46:31.214047-06:00,game terminated,2024-12-19T11:58:18.238516-06:00,01JFG0V9REQA34Z030FJPM5NG2,2024-12-19T11:54:51.363184-06:00,2,2024-12-19T11:46:06.59065-06:00,null,2024-12-19T11:54:07.202363-06:00,Minu,2024-12-19T11:46:14.224702-06:00,#444EA1,2024-12-19T11:46:14.224702-06:00,4,2024-12-19T11:50:43.49819-06:00,01JFG0DMPZ4JZMG8NSZA5KDHDV,2024-12-19T11:46:03.879298-06:00,gfh,2024-12-19T11:46:03.879298-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:46:14.224702-06:00,matcher,2024-12-19T11:49:40.42875-06:00,0.060000,2024-12-19T11:46:31.205856-06:00,/avatars/red.png,2024-12-19T11:46:14.224702-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:54:51.363184-06:00,full-comp-between,2024-12-19T11:54:51.363184-06:00,"{""participantKey"":""1734630178315fdgfs""}",2024-12-19T11:46:03.894095-06:00
01JFG6SBNJP4P2M6WPRXJPSV75,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T13:37:47.813498-06:00,0,2024-12-19T13:37:47.813498-06:00,,2024-12-19T13:37:48.209042-06:00,game ended,2024-12-19T13:42:42.879588-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:19.295748-06:00,2,2024-12-19T13:37:39.182484-06:00,true,2024-12-19T13:37:47.715149-06:00,Repi,2024-12-19T13:37:47.813498-06:00,#29828D,2024-12-19T13:37:47.813498-06:00,4,2024-12-19T13:42:42.873853-06:00,01JFG6SBN09YRXS9Y0N24PWHDB,2024-12-19T13:37:19.282354-06:00,afds,2024-12-19T13:37:19.282354-06:00,01JFG6SGC9GNKPH546S5S8CHKS,2024-12-19T13:37:47.813498-06:00,director,2024-12-19T13:40:57.730276-06:00,0,2024-12-19T13:37:47.813498-06:00,/avatars/blue.png,2024-12-19T13:37:47.813498-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:37:19.295748-06:00,full-comp-between,2024-12-19T13:37:19.295748-06:00,"{""participantKey"":""1734630178315jfghsffdsdsf""}",2024-12-19T13:37:19.305571-06:00
01JFG6SGC9GNKPH546S5S8CHKS,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T13:37:47.813498-06:00,0,2024-12-19T13:37:47.813498-06:00,,2024-12-19T13:37:48.209042-06:00,game ended,2024-12-19T13:42:42.879588-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:24.116109-06:00,2,2024-12-19T13:37:27.155806-06:00,true,2024-12-19T13:37:34.973572-06:00,Minu,2024-12-19T13:37:47.813498-06:00,#444EA1,2024-12-19T13:37:47.813498-06:00,4,2024-12-19T13:42:42.873853-06:00,01JFG6SGBF9R95H9641ZQVZQ3S,2024-12-19T13:37:24.105605-06:00,jgkg,2024-12-19T13:37:24.105605-06:00,01JFG6SBNJP4P2M6WPRXJPSV75,2024-12-19T13:37:47.813498-06:00,matcher,2024-12-19T13:40:57.730276-06:00,0,2024-12-19T13:37:47.813498-06:00,/avatars/red.png,2024-12-19T13:37:47.813498-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:37:24.116109-06:00,full-comp-between,2024-12-19T13:37:24.116109-06:00,"{""participantKey"":""1734630178315jfghsffdsdsffg""}",2024-12-19T13:37:24.123909-06:00
01JFG743WKH3HTC30MXDFW0WDH,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T13:43:22.343465-06:00,0,2024-12-19T13:43:22.343465-06:00,,2024-12-19T13:43:22.767831-06:00,game ended,2024-12-19T13:47:35.456629-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:11.77514-06:00,2,2024-12-19T13:43:14.484443-06:00,true,2024-12-19T13:43:22.248874-06:00,Minu,2024-12-19T13:43:22.343465-06:00,#444EA1,2024-12-19T13:43:22.343465-06:00,4,2024-12-19T13:47:35.445316-06:00,01JFG743W8VMCE13YTHX2CM34B,2024-12-19T13:43:11.763549-06:00,iuli,2024-12-19T13:43:11.763549-06:00,01JFG73J7R43Z4XV0457CH3BF0,2024-12-19T13:43:22.343465-06:00,matcher,2024-12-19T13:46:32.359751-06:00,0,2024-12-19T13:43:22.343465-06:00,/avatars/red.png,2024-12-19T13:43:22.343465-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:43:11.77514-06:00,full-comp-between,2024-12-19T13:43:11.77514-06:00,"{""participantKey"":""1734630178315dsgaasd""}",2024-12-19T13:43:11.785283-06:00
01JFG751VFRQNSEXQ3AB6PNXZE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T13:44:12.97585-06:00,0.030000,2024-12-19T13:44:30.212869-06:00,,2024-12-19T13:44:30.226004-06:00,game ended,2024-12-19T13:48:42.691782-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:43:42.460249-06:00,2,2024-12-19T13:43:45.173739-06:00,true,2024-12-19T13:43:53.373239-06:00,Repi,2024-12-19T13:44:12.97585-06:00,#29828D,2024-12-19T13:44:12.97585-06:00,4,2024-12-19T13:48:42.682063-06:00,01JFG751TWGD4WVCXE51CZ86FQ,2024-12-19T13:43:42.447809-06:00,dfasd,2024-12-19T13:43:42.447809-06:00,01JFG75J96YQFV5KR1YZ37PK9Q,2024-12-19T13:44:12.97585-06:00,matcher,2024-12-19T13:47:39.532413-06:00,0.030000,2024-12-19T13:44:30.212869-06:00,/avatars/blue.png,2024-12-19T13:44:12.97585-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:43:42.460249-06:00,full-comp-between,2024-12-19T13:43:42.460249-06:00,"{""participantKey"":""1734630178315dsgdhf""}",2024-12-19T13:43:42.468652-06:00
01JFG081KQVJEFJ5NY8K8DS112,,,,,,,game terminated,2024-12-19T11:58:16.325263-06:00,01JFG07Q5R9467M5A2GGPKBXKG,2024-12-19T11:43:00.483398-06:00,2,2024-12-19T11:43:03.171872-06:00,true,2024-12-19T11:43:10.860561-06:00,,,,,,,01JFG081K4HW6H0Q0SBJX8JXPH,2024-12-19T11:43:00.471248-06:00,sdfg,2024-12-19T11:43:00.471248-06:00,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:43:00.483398-06:00,full-comp-between,2024-12-19T11:43:00.483398-06:00,{},2024-12-19T11:43:00.492847-06:00
01JFG0GWQMKS71RJ9H97PEXM7B,,,,,,,game terminated,2024-12-19T11:58:18.238516-06:00,01JFG0V9REQA34Z030FJPM5NG2,2024-12-19T11:53:32.685304-06:00,2,2024-12-19T11:51:31.792193-06:00,,,,,,,,,01JFG0GWQ70MSC3J4N0NKX0C30,2024-12-19T11:47:50.388763-06:00,dhgfh,2024-12-19T11:47:50.388763-06:00,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:47:50.395739-06:00,full-comp-between,2024-12-19T11:47:50.395739-06:00,"{""participantKey"":""1734630178315fdgfsdssddsfsd""}",2024-12-19T11:47:50.401974-06:00
01JFG6QPTW174VE4DDXZKDXRJ6,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T13:36:55.853272-06:00,0.030000,2024-12-19T13:37:09.41431-06:00,,2024-12-19T13:37:09.430554-06:00,game ended,2024-12-19T13:41:21.817133-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:25.192902-06:00,2,2024-12-19T13:36:35.388533-06:00,true,2024-12-19T13:36:44.776084-06:00,Repi,2024-12-19T13:36:55.853272-06:00,#29828D,2024-12-19T13:36:55.853272-06:00,4,2024-12-19T13:41:21.806572-06:00,01JFG6QPT8B7B8E3V9P1REXE89,2024-12-19T13:36:25.180656-06:00,hfh,2024-12-19T13:36:25.180656-06:00,01JFG6QW5WQRGYN894KFQ72ESY,2024-12-19T13:36:55.853272-06:00,matcher,2024-12-19T13:40:18.722133-06:00,0.030000,2024-12-19T13:37:09.41431-06:00,/avatars/blue.png,2024-12-19T13:36:55.853272-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:36:25.192902-06:00,full-comp-between,2024-12-19T13:36:25.192902-06:00,"{""participantKey"":""1734630178315jfgh""}",2024-12-19T13:36:25.20822-06:00
01JFG6QW5WQRGYN894KFQ72ESY,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T13:36:55.853272-06:00,0.030000,2024-12-19T13:37:09.41431-06:00,,2024-12-19T13:37:09.430554-06:00,game ended,2024-12-19T13:41:21.817133-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:30.663059-06:00,2,2024-12-19T13:36:47.479449-06:00,true,2024-12-19T13:36:55.768315-06:00,Minu,2024-12-19T13:36:55.853272-06:00,#444EA1,2024-12-19T13:36:55.853272-06:00,4,2024-12-19T13:41:21.806572-06:00,01JFG6QW5BYBPH5BGG2T92CPYZ,2024-12-19T13:36:30.652284-06:00,jkhlk,2024-12-19T13:36:30.652284-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:36:55.853272-06:00,director,2024-12-19T13:40:18.722133-06:00,0.030000,2024-12-19T13:37:09.41431-06:00,/avatars/red.png,2024-12-19T13:36:55.853272-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:36:30.663059-06:00,full-comp-between,2024-12-19T13:36:30.663059-06:00,"{""participantKey"":""1734630178315jfghsffd""}",2024-12-19T13:36:30.674457-06:00
01JFG75J96YQFV5KR1YZ37PK9Q,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T13:44:12.97585-06:00,0.030000,2024-12-19T13:44:30.212869-06:00,,2024-12-19T13:44:30.226004-06:00,game ended,2024-12-19T13:48:42.691782-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:43:59.281565-06:00,2,2024-12-19T13:44:01.735158-06:00,true,2024-12-19T13:44:12.877929-06:00,Minu,2024-12-19T13:44:12.97585-06:00,#444EA1,2024-12-19T13:44:12.97585-06:00,4,2024-12-19T13:48:42.682063-06:00,01JFG75J8QAQ2YKDW6Y88TDD5B,2024-12-19T13:43:59.270092-06:00,kukuy,2024-12-19T13:43:59.270092-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:44:12.97585-06:00,director,2024-12-19T13:47:39.532413-06:00,0.030000,2024-12-19T13:44:30.212869-06:00,/avatars/red.png,2024-12-19T13:44:12.97585-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:43:59.281565-06:00,full-comp-between,2024-12-19T13:43:59.281565-06:00,"{""participantKey"":""1734630178315dsgdhfsadas""}",2024-12-19T13:43:59.288807-06:00
01JFG0D7MSZ09W7EWY0Q08AZ0J,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T11:46:14.224702-06:00,0.060000,2024-12-19T11:46:31.205856-06:00,,2024-12-19T11:46:31.214047-06:00,game terminated,2024-12-19T11:58:18.238516-06:00,01JFG0V9REQA34Z030FJPM5NG2,2024-12-19T11:54:51.363184-06:00,2,2024-12-19T11:45:52.912314-06:00,null,2024-12-19T11:54:08.287862-06:00,Repi,2024-12-19T11:46:14.224702-06:00,#29828D,2024-12-19T11:46:14.224702-06:00,4,2024-12-19T11:50:43.49819-06:00,01JFG0D7MBGNDACP2F1AV8NDZW,2024-12-19T11:45:50.489081-06:00,dfdfs,2024-12-19T11:45:50.489081-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:46:14.224702-06:00,director,2024-12-19T11:49:40.42875-06:00,0.060000,2024-12-19T11:46:31.205856-06:00,/avatars/blue.png,2024-12-19T11:46:14.224702-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:54:51.363184-06:00,full-comp-between,2024-12-19T11:54:51.363184-06:00,"{""participantKey"":""1734630178315fdgfssdsd""}",2024-12-19T11:45:50.505313-06:00
01JFG0FQFEGTCV9C24GCYXQJYK,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T11:52:09.772682-06:00,0,2024-12-19T11:52:09.772682-06:00,,2024-12-19T11:52:10.592965-06:00,game ended,2024-12-19T11:56:22.898379-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:47:12.25233-06:00,2,2024-12-19T11:51:21.15636-06:00,true,2024-12-19T11:51:28.764785-06:00,Repi,2024-12-19T11:52:09.772682-06:00,#29828D,2024-12-19T11:52:09.772682-06:00,4,2024-12-19T11:56:22.891762-06:00,01JFG0FQEZKQJ22QG0WSJQXR03,2024-12-19T11:47:12.238738-06:00,dfsghsd,2024-12-19T11:47:12.238738-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:52:09.772682-06:00,director,2024-12-19T11:55:19.838186-06:00,0,2024-12-19T11:52:09.772682-06:00,/avatars/blue.png,2024-12-19T11:52:09.772682-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:47:12.25233-06:00,full-comp-between,2024-12-19T11:47:12.25233-06:00,"{""participantKey"":""1734630178315fdgfsdssd""}",2024-12-19T11:47:12.261068-06:00
01JFG0PSTG5DS8FG3HBRF60PXB,,,,,,,game terminated,2024-12-19T11:58:18.238516-06:00,01JFG0V9REQA34Z030FJPM5NG2,2024-12-19T11:53:32.685304-06:00,1,2024-12-19T11:51:07.173639-06:00,null,2024-12-19T11:53:20.438839-06:00,,,,,,,01JFG0PST27F3KF3A7K743YTFE,2024-12-19T11:51:04.016693-06:00,dfgfd,2024-12-19T11:51:04.016693-06:00,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:53:32.685304-06:00,full-comp-between,2024-12-19T11:53:32.685304-06:00,"{""participantKey"":""1734630178315fdgfsdssddsfsddfsdsd""}",2024-12-19T11:51:04.031659-06:00
